brand,item,price,deal_price,img_url,product_url
Olivia von Halle,pyjama Coco en soie ,487 €,,https://cdn-images.farfetch-contents.com/15/35/98/61/15359861_27039480_300.jpg,https://www.farfetch.com/fr/shopping/women/olivia-von-halle-pyjama-coco-en-soie-item-15359861.aspx?storeid=9359
Christopher Kane,pyjama Sex,425 €,,https://cdn-images.farfetch-contents.com/14/65/43/67/14654367_26623637_300.jpg,https://www.farfetch.com/fr/shopping/women/christopher-kane-pyjama-sex-item-14654367.aspx?storeid=10073
Viktor & Rolf,haut de pyjama à slogan imprimé,113 €,,https://cdn-images.farfetch-contents.com/15/93/49/75/15934975_29572566_300.jpg,https://www.farfetch.com/fr/shopping/women/viktor-rolf-haut-de-pyjama-a-slogan-imprime-item-15934975.aspx?storeid=11053
Fleur Du Mal,haut de pyjama à logo,430 €,,https://cdn-images.farfetch-contents.com/13/53/27/39/13532739_15996069_300.jpg,https://www.farfetch.com/fr/shopping/women/fleur-du-mal-haut-de-pyjama-a-logo-item-13532739.aspx?storeid=9795
Sleeper,pyjama à coupe ample,283 €,,https://cdn-images.farfetch-contents.com/15/36/44/21/15364421_27914549_300.jpg,https://www.farfetch.com/fr/shopping/women/sleeper-pyjama-a-coupe-ample-item-15364421.aspx?storeid=9359
Fleur Du Mal,haut de pyjama Fleur,430 €,,https://cdn-images.farfetch-contents.com/14/61/71/94/14617194_23398879_300.jpg,https://www.farfetch.com/fr/shopping/women/fleur-du-mal-haut-de-pyjama-fleur-item-14617194.aspx?storeid=9795
Sleeper,pyjama The Weekend Chic,228 €,,https://cdn-images.farfetch-contents.com/15/44/65/77/15446577_29104539_300.jpg,https://www.farfetch.com/fr/shopping/women/sleeper-pyjama-the-weekend-chic-item-15446577.aspx?storeid=9359
La Perla,pyjama en soie,308 €,,https://cdn-images.farfetch-contents.com/14/35/47/70/14354770_23189141_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-pyjama-en-soie-item-14354770.aspx?storeid=9359
La Perla,ensemble de pyjama,275 €,,https://cdn-images.farfetch-contents.com/12/19/45/91/12194591_10778258_300.jpg,https://www.farfetch.com/fr/shopping/women/la-perla-ensemble-de-pyjama-item-12194591.aspx?storeid=9053
Chinti and Parker,pyjama à rayures,240 €,,https://cdn-images.farfetch-contents.com/15/73/74/71/15737471_28940932_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-a-rayures-item-15737471.aspx?storeid=10241
Fleur Du Mal,pantalon de pyjama Cillis,532 €,319 €,https://cdn-images.farfetch-contents.com/14/35/99/65/14359965_21148077_300.jpg,https://www.farfetch.com/fr/shopping/women/fleur-du-mal-pantalon-de-pyjama-cillis-item-14359965.aspx?storeid=9795
Chinti and Parker,pyjama Bonne Nuit,216 €,,https://cdn-images.farfetch-contents.com/14/00/01/40/14000140_18184435_300.jpg,https://www.farfetch.com/fr/shopping/women/chinti-and-parker-pyjama-bonne-nuit-item-14000140.aspx?storeid=10241
Prada,pyjama à motif géométrique,1 540 €,,https://cdn-images.farfetch-contents.com/13/93/86/29/13938629_17943467_300.jpg,https://www.farfetch.com/fr/shopping/women/prada-pyjama-a-motif-geometrique-item-13938629.aspx?storeid=9838
Marc Jacobs,chemise The Pajama,440 €,264 €,https://cdn-images.farfetch-contents.com/14/40/59/60/14405960_21225839_300.jpg,https://www.farfetch.com/fr/shopping/women/marc-jacobs-chemise-the-pajama-item-14405960.aspx?storeid=11696
Marc Jacobs,chemise The Pajama,440 €,264 €,https://cdn-images.farfetch-contents.com/14/40/59/67/14405967_21039630_300.jpg,https://www.farfetch.com/fr/shopping/women/marc-jacobs-chemise-the-pajama-item-14405967.aspx?storeid=11696
Marc Jacobs,robe The Pajama,390 €,,https://cdn-images.farfetch-contents.com/15/51/96/25/15519625_28540885_300.jpg,https://www.farfetch.com/fr/shopping/women/marc-jacobs-robe-the-pajama-item-15519625.aspx?storeid=9575
Thom Browne,polo collar pajama shirt,1 250 €,625 €,https://cdn-images.farfetch-contents.com/12/47/63/02/12476302_11655996_300.jpg,https://www.farfetch.com/fr/shopping/women/thom-browne-polo-collar-pajama-shirt-item-12476302.aspx?storeid=9446
Christopher Kane,pyjama Special,425 €,,https://cdn-images.farfetch-contents.com/14/65/43/68/14654368_26631367_300.jpg,https://www.farfetch.com/fr/shopping/women/christopher-kane-pyjama-special-item-14654368.aspx?storeid=10073
