brand,product,original price,current price,image url,product url,description,material,color
h&m,Pajama T-shirt and Pants,$9.99,$9.99,"https://lp2.hm.com/hmgoepprod?set=source[/4a/62/4a6298fc9834f4898fd5c63cab70a98cf81e15c0.jpg],origin[dam],category[men_nightwearloungewear_pyjamas],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0818694002.html,Pajamas in soft cotton fabric. Crew-neck T-shirt in jersey. Flannel pants with elasticized waistband and mock fly.,['Cotton 100%'],Dark blue/red plaid
h&m,2-pack Cotton Pajama Pants,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/22/c0/22c01d9ad5c6b3caa2c06df3931fb5b0b027a587.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0947060001.html,"Pajama pants in airy, woven cotton fabric. Covered, elasticized waistband with drawstring, mock fly, and side pockets.",['Cotton 100%'],"Dark blue/plaid, Dark blue/plaid"
h&m,Pajamas,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/d8/d4/d8d4aae076086f099400f5249d805e2c0e506350.jpg],origin[dam],category[men_underwearloungewear_pyjamas],type[LOOKBOOK],res[m],hmver[3]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0674057005.html,"Pajamas in soft cotton jersey. Shirt with printed design at front and back and long sleeves. Pants with elasticized drawstring waistband, side pockets, and ribbed hems.",['Cotton 100%'],Black/Looney Tunes
h&m,Soft Slippers,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/92/38/923836dbb0440dea5e24a822015ae1239c3be89a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0902487001.html,"Soft, padded slippers in velour, with one Cookie-Monster-shaped slipper and one Elmo-shaped slipper. Jersey lining, jersey insoles, and soft soles with non-slip protection.","['Lining: Polyester 100%', 'Upper: Polyester 100%', 'Sole: Polyester 100%']",Red/Sesame Street
h&m,Waffled Bathrobe,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/e9/e1/e9e18d838f1a2b711319a23ca4dbdcaabbdd7357.jpg],origin[dam],category[home_dressinggown],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0346942031.html,"Bathrobe in a soft, waffle-weave cotton blend with two front pockets and a tie belt at waist.","['Polyester 50%, Cotton 50%']",Dusky blue
h&m,Faux Shearling-lined Slippers,$19.99,$19.99,"https://lp2.hm.com/hmgoepprod?set=source[/56/71/567122a8a0a9a91edc63459f1a62209671c8bf21.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0906777003.html,Slippers in faux leather with a moccasin seam at front. Soft faux shearling lining and fluted soles. Sole thickness approx. 1/2 in.,"['Lining and insole: Polyester 100%', 'Upper: Polyester 100%', 'Sole: Ethylene Vinyl Acetate 100%']","Brown, Black"
h&m,Pajamas,$34.99,$34.99,"https://lp2.hm.com/hmgoepprod?set=source[/6a/dd/6add343a44b6148fe82f63ba80ab683297c7d8b8.jpg],origin[dam],category[men_underwearloungewear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0674057006.html,"Pajamas in soft cotton jersey. Shirt with printed design at front and back and long sleeves. Pants with elasticized drawstring waistband, side pockets, and ribbed hems.",['Cotton 100%'],Black/Garfield
h&m,Fleece Bathrobe,$49.99,$49.99,"https://lp2.hm.com/hmgoepprod?set=source[/23/76/23769d6155cb5a69dc31c2d9acd530d297a52fba.jpg],origin[dam],category[men_underwearloungewear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0575238007.html,Bathrobe in soft fleece with a shawl collar and front pockets. Removable tie belt at waist.,['Polyester 100%'],Black
h&m,Faux Fur Slippers,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/17/e8/17e87627b11d09088fdeb649dedc12b78633760e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0906776001.html,Slippers in cotton twill with soft faux fur insoles and fluted soles.,"['Sole: Ethylene Vinyl Acetate 100%', 'Lining and insole: Polyester 100%', 'Upper: Cotton 100%']",Black
h&m,Faux Shearling-lined Slippers,$19.99,$19.99,"https://lp2.hm.com/hmgoepprod?set=source[/be/dc/bedc889cd170635438b0200544b5791bed2ded27.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0906777001.html,Slippers in faux leather with a moccasin seam at front. Soft faux shearling lining and fluted soles. Sole thickness approx. 1/2 in.,"['Sole: Ethylene Vinyl Acetate 100%', 'Lining and insole: Polyester 100%', 'Upper: Polyester 100%']","Brown, Black"
