brand,product,original price,current price,image url,product url,description,material,color
h&m,Faux Fur Slippers,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/f0/5a/f05aedca3381e4ee0075672030ce4f04536c1be2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0929640006.html,Slippers in soft faux fur made from recycled polyester. Fluted soles.,"['Upper: Polyester 100%', 'Sole: Ethylene Vinyl Acetate 100%', 'Lining and insole: Polyester 100%']","Beige, Light gray"
h&m,Faux Shearling Bathrobe,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/e4/8c/e48c216bff54ec78811225a6b37bd44d5075c947.jpg],origin[dam],category[ladies_nightwear_nightslipsrobes],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0770345005.html,"Knee-length bathrobe in soft faux shearling with a hood, pockets, and removable tie belt at waist.",['Polyester 100%'],Gray
h&m,Pajama Sweatshirt and Leggings,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/00/80/0080f7db923bc225481142ea5e3afd83e196d349.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0769814016.html,"Pajamas with an oversized sweatshirt and jersey leggings. Sweatshirt with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. Soft, brushed inside. Leggings with elasticized waistband.","['Polyester 65%, Cotton 35%', 'Lower section: Cotton 95%, Elastane 5%']",Beige/dotted
h&m,Faux Fur Slippers,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/4b/bb/4bbb40da09041616b7716fc4595dcb8360def875.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0929640002.html,Slippers in soft faux fur made from recycled polyester. Fluted soles.,"['Sole: Ethylene Vinyl Acetate 100%', 'Lining and insole: Polyester 100%', 'Upper: Polyester 100%']","Beige, Light gray"
h&m,Warm-lined Slippers,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/ce/9c/ce9c39abe3b50f67f0bb88317d94ca2dd7bad8ef.jpg],origin[dam],category[ladies_nightwear_slippers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0761217002.html,Slippers in soft fabric with faux fur lining and insoles. Soles with non-slip protection.,"['Sole: Thermoplastic rubber 100%', 'Upper: Polyester 100%', 'Lining: Polyester 100%']",Black
h&m,Sweatpants,$17.99,$17.99,"https://lp2.hm.com/hmgoepprod?set=source[/68/86/6886cc2d3145a796e829853d8576ad52e04bad02.jpg],origin[dam],category[ladies_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0547780003.html,"Sweatpants with an elasticized drawstring waistband, side pockets, and ribbed hems. Soft, brushed inside.","['Cotton 65%, Polyester 28%, Viscose 7%']","Black, Dark gray melange, Gray melange, Light pink, Light taupe, Beige, Powder pink"
h&m,Pajama Shirt and Pants,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/11/80/1180a6723df3ea89bc68076a427ab4c9e4454a07.jpg],origin[dam],category[ladies_nightwear_pyjamas],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0785060003.html,"Patterned pajamas in soft cotton jersey. Long-sleeved shirt with notched lapels and buttons at front. Pants with an elasticized waistband and straight, wide legs.","['Polyester 65%, Cotton 35%']",Dusky pink/dotted
h&m,Joggers High Waist,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/b7/2f/b72f2bf93009ef66513410284138114e89932c44.jpg],origin[dam],category[ladies_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0759814011.html,"Joggers in sweatshirt fabric. High waist, elasticized waistband with drawstring, side pockets, and elasticized hems. Soft, brushed inside.","['Pocket lining: Cotton 99%, Viscose 1%', 'Cotton 79%, Polyester 20%, Elastane 1%']","Black, Light gray melange, Khaki green, White, Black/Love, Beige, Light purple"
h&m,Wool-blend Sweater Hoodie,$29.99,$29.99,"https://lp2.hm.com/hmgoepprod?set=source[/d8/18/d81840ffd39bf8020b6ab940831710723bf259f5.jpg],origin[dam],category[ladies_basics_cardigansjumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0883980002.html,"Soft, knit sweater with wool content. Drawstring hood, kangaroo pocket, dropped shoulders, and long sleeves. Slits at sides and ribbing at cuffs and hem.","['Viscose 29%, Polyester 29%, Polyamide 20%, Acrylic 19%, Wool 3%']","Black, Taupe melange, Mauve, Light turquoise"
h&m,Hoodie,$24.99,$24.99,"https://lp2.hm.com/hmgoepprod?set=source[/14/01/14016961c48095a96a0f698871bd63b223d4d01d.jpg],origin[dam],category[ladies_hoodiesswetshirts_hoodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0794575001.html,"Wide-cut sweatshirt with a lined drawstring hood, long raglan sleeves, and kangaroo pocket. Ribbing at cuffs and hem. Soft, brushed inside.","['Cotton 60%, Polyester 40%']","Black, White, Khaki green, Taupe"
