brand,item,price,img_url,product_url
Derek Rose,Pima cotton-blend jersey tank top,$60,//assetsprx.matchesfashion.com/img/product/1354027_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Pima-cotton-blend-jersey-tank-top-1354027
Derek Rose,Finley cashmere track pants,$800,//assetsprx.matchesfashion.com/img/product/1353848_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Finley-cashmere-track-pants-1353848
Derek Rose,Finley zipped cashmere hooded sweatshirt ,$825,//assetsprx.matchesfashion.com/img/product/1353847_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Finley-zipped-cashmere-hooded-sweatshirt--1353847
Polo Ralph Lauren,Logo-embroidered modal-blend jersey pyjama top,$50,//assetsprx.matchesfashion.com/img/product/1375242_1_large.jpg,https://www.matchesfashion.com/us/products/Polo-Ralph-Lauren-Logo-embroidered-modal-blend-jersey-pyjama-top-1375242
Schiesser,Karl Heinz short-sleeved cotton henley top,$60,//assetsprx.matchesfashion.com/img/product/1306717_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Karl-Heinz-short-sleeved-cotton-henley-top-1306717
Schiesser,Karl-Heinz cotton T-shirt,$65,//assetsprx.matchesfashion.com/img/product/1264334_1_large.jpg,https://www.matchesfashion.com/us/products/Schiesser-Karl-Heinz-cotton-T-shirt-1264334
Polo Ralph Lauren,Logo-embroidered pyjama trousers,$50,//assetsprx.matchesfashion.com/img/product/1230116_1_large.jpg,https://www.matchesfashion.com/us/products/Polo-Ralph-Lauren-Logo-embroidered-pyjama-trousers-1230116
Versace,Pack of two Medusa-print jersey T-shirts,$150,//assetsprx.matchesfashion.com/img/product/1315103_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Pack-of-two-Medusa-print-jersey-T-shirts-1315103
Versace,Pack of two logo-print stretch-cotton T-shirts,$150,//assetsprx.matchesfashion.com/img/product/1315102_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Pack-of-two-logo-print-stretch-cotton-T-shirts-1315102
Versace,Medusa-logo V-neck cotton-blend T-shirt	,$75,//assetsprx.matchesfashion.com/img/product/1315101_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Medusa-logo-V-neck-cotton-blend-T-shirt%09-1315101
Versace,Medusa-logo V-neck cotton-blend T-shirt,$75,//assetsprx.matchesfashion.com/img/product/1315100_1_large.jpg,https://www.matchesfashion.com/us/products/Versace-Medusa-logo-V-neck-cotton-blend-T-shirt-1315100
Calvin Klein Underwear,Logo-print cotton-blend jersey sweat shorts,$40,//assetsprx.matchesfashion.com/img/product/1401411_1_large.jpg,https://www.matchesfashion.com/us/products/Calvin-Klein-Underwear-Logo-print-cotton-blend-jersey-sweat-shorts-1401411
Calvin Klein Underwear,Logo-print cotton-blend jersey hooded sweatshirt,$70,//assetsprx.matchesfashion.com/img/product/1401410_1_large.jpg,https://www.matchesfashion.com/us/products/Calvin-Klein-Underwear-Logo-print-cotton-blend-jersey-hooded-sweatshirt-1401410
Moncler,Pleated wool track pants,$425,//assetsprx.matchesfashion.com/img/product/1385913_1_large.jpg,https://www.matchesfashion.com/us/products/Moncler-Pleated-wool-track-pants-1385913
Paul Smith,Contrast-stitch cotton T-shirt,$55,//assetsprx.matchesfashion.com/img/product/1276726_1_large.jpg,https://www.matchesfashion.com/us/products/Paul-Smith-Contrast-stitch-cotton-T-shirt-1276726
Derek Rose,Jack pima-cotton crew-neck T-shirt	,$68,//assetsprx.matchesfashion.com/img/product/174268_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Jack-pima-cotton-crew-neck-T-shirt%09-174268
Comme des Garçons Shirt,Round-neck cotton-jersey tank top,$50,//assetsprx.matchesfashion.com/img/product/1369218_1_large.jpg,https://www.matchesfashion.com/us/products/Comme-des-Gar%C3%A7ons-Shirt-Round-neck-cotton-jersey-tank-top-1369218
Derek Rose,Basel jersey T-shirt,$115,//assetsprx.matchesfashion.com/img/product/1048468_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Basel-jersey-T-shirt-1048468
Derek Rose,Modal-blend track pants,$180,//assetsprx.matchesfashion.com/img/product/1354045_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Modal-blend-track-pants-1354045
Derek Rose,Basel micromodal-blend jersey track pants,$180,//assetsprx.matchesfashion.com/img/product/1354044_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Basel-micromodal-blend-jersey-track-pants-1354044
Derek Rose,Devon drawstring cotton-jersey track pants,$235,//assetsprx.matchesfashion.com/img/product/1354043_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Devon-drawstring-cotton-jersey-track-pants-1354043
Derek Rose,Devon zipped cotton-jersey hooded sweatshirt,$325,//assetsprx.matchesfashion.com/img/product/1354042_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Devon-zipped-cotton-jersey-hooded-sweatshirt-1354042
Derek Rose,Basel micromodal-blend hooded pyjama sweatshirt,$225,//assetsprx.matchesfashion.com/img/product/1354038_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Basel-micromodal-blend-hooded-pyjama-sweatshirt-1354038
Derek Rose,Basel micromodal-blend hooded pyjama sweatshirt,$225,//assetsprx.matchesfashion.com/img/product/1354037_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Basel-micromodal-blend-hooded-pyjama-sweatshirt-1354037
Derek Rose,Finley cashmere track pants,$800,//assetsprx.matchesfashion.com/img/product/1353846_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Finley-cashmere-track-pants-1353846
Derek Rose,Finley zipped cashmere hooded sweatshirt ,$825,//assetsprx.matchesfashion.com/img/product/1353845_1_large.jpg,https://www.matchesfashion.com/us/products/Derek-Rose-Finley-zipped-cashmere-hooded-sweatshirt--1353845
Lahgo,Restore cotton-blend jersey track pants,$110,//assetsprx.matchesfashion.com/img/product/1375345_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-jersey-track-pants-1375345
Lahgo,Restore cotton-blend track pants,$100,//assetsprx.matchesfashion.com/img/product/1375344_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-track-pants-1375344
Lahgo,Organic Pima-cotton long-sleeved T-shirt,$70,//assetsprx.matchesfashion.com/img/product/1375336_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-long-sleeved-T-shirt-1375336
Lahgo,Cool oversized cotton-blend jersey T-shirt,$100,//assetsprx.matchesfashion.com/img/product/1375332_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Cool-oversized-cotton-blend-jersey-T-shirt-1375332
Lahgo,Restore cotton-blend pyjama shorts,$70,//assetsprx.matchesfashion.com/img/product/1375348_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-pyjama-shorts-1375348
Lahgo,Restore cotton-blend tank top,$55,//assetsprx.matchesfashion.com/img/product/1375347_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-tank-top-1375347
Lahgo,Restore cotton-blend tank top,$55,//assetsprx.matchesfashion.com/img/product/1375346_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-tank-top-1375346
Lahgo,Restore cotton-blend pyjama T-shirt,$60,//assetsprx.matchesfashion.com/img/product/1375343_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-pyjama-T-shirt-1375343
Lahgo,Organic Pima-cotton pyjama trousers,$145,//assetsprx.matchesfashion.com/img/product/1375342_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-pyjama-trousers-1375342
Lahgo,Organic Pima-cotton pyjama trousers,$145,//assetsprx.matchesfashion.com/img/product/1375341_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-pyjama-trousers-1375341
Lahgo,Restore cotton-blend pyjama shorts,$90,//assetsprx.matchesfashion.com/img/product/1375340_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Restore-cotton-blend-pyjama-shorts-1375340
Lahgo,Organic Pima-cotton jersey shorts,$90,//assetsprx.matchesfashion.com/img/product/1375339_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-jersey-shorts-1375339
Lahgo,Organic Pima-cotton long-sleeved T-shirt,$70,//assetsprx.matchesfashion.com/img/product/1375337_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-long-sleeved-T-shirt-1375337
Lahgo,Organic Pima-cotton jersey T-shirt,$55,//assetsprx.matchesfashion.com/img/product/1375334_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Organic-Pima-cotton-jersey-T-shirt-1375334
Lahgo,Cool cotton-blend jersey shorts,$100,//assetsprx.matchesfashion.com/img/product/1375333_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Cool-cotton-blend-jersey-shorts-1375333
Lahgo,Cool oversized cotton-blend jersey T-shirt,$100,//assetsprx.matchesfashion.com/img/product/1375331_1_large.jpg,https://www.matchesfashion.com/us/products/Lahgo-Cool-oversized-cotton-blend-jersey-T-shirt-1375331
Altea,Wool-blend hooded sweater,$294,//assetsprx.matchesfashion.com/img/product/1365050_1_large.jpg,https://www.matchesfashion.com/us/products/Altea-Wool-blend-hooded-sweater-1365050
CDLP,Pack of three lyocell-blend jersey T-shirts,$185,//assetsprx.matchesfashion.com/img/product/1379169_1_large.jpg,https://www.matchesfashion.com/us/products/CDLP-Pack-of-three-lyocell-blend-jersey-T-shirts-1379169
