brand,item,price,deal_price,image_url,product_url,description,material,color
Zara,BASIC SWEATSHIRT ,17.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/1660/802/612/3/w/861/1660802612_1_1_1.jpg?ts=1600434004238', 'https://static.zara.net/photos///2020/I/0/1/p/1660/802/612/3/w/861/1660802612_2_1_1.jpg?ts=1600434004135', 'https://static.zara.net/photos///2020/I/0/1/p/1660/802/612/2/w/861/1660802612_6_1_1.jpg?ts=1598348836260', 'https://static.zara.net/photos///2020/I/0/1/p/1660/802/612/2/w/861/1660802612_6_2_1.jpg?ts=1598348842600', 'https://static.zara.net/photos///2020/I/0/1/p/1660/802/612/2/w/861/1660802612_6_3_1.jpg?ts=1598348836543', 'https://static.zara.net/photos///contents/cm/w/861/sustainability-extrainfo-label-JL51_0.jpg?ts=1602602182774']",https://www.zara.com/us/en/basic-sweatshirt-p01660802.html,Round neck sweatshirt with long sleeves. Ribbed trim.,"['MAIN FABRIC50% cotton,50% polyester', 'SECONDARY FABRIC96% cotton,4% elastane', '']","['Mauve', 'Green', 'Black', 'Anthracite Gray', 'Oyster White', 'Brown']"
Zara,FRONT PRINTED SWEATSHIRT ,39.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/1443/791/807/2/w/861/1443791807_1_1_1.jpg?ts=1604595413229', 'https://static.zara.net/photos///2020/I/0/1/p/1443/791/807/2/w/861/1443791807_2_1_1.jpg?ts=1604595424021', 'https://static.zara.net/photos///2020/I/0/1/p/1443/791/807/2/w/861/1443791807_6_1_1.jpg?ts=1604657813341', 'https://static.zara.net/photos///2020/I/0/1/p/1443/791/807/2/w/861/1443791807_6_2_1.jpg?ts=1604657787716', 'https://static.zara.net/photos///2020/I/0/1/p/1443/791/807/2/w/861/1443791807_6_3_1.jpg?ts=1604657881667']",https://www.zara.com/us/en/front-printed-sweatshirt-p01443791.html,Cropped sweatshirt with high collar and long sleeves. Contrasting front print. Elastic hem.,"['MAIN FABRIC65% cotton,35% polyester', 'SECONDARY FABRIC51% polyester,48% cotton,1% elastane', '']",['Anthracite grey']
Zara,JOGGING PANTS ,35.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/1443/792/807/2/w/861/1443792807_1_1_1.jpg?ts=1604595432764', 'https://static.zara.net/photos///2020/I/0/1/p/1443/792/807/2/w/861/1443792807_2_1_1.jpg?ts=1604595436177', 'https://static.zara.net/photos///2020/I/0/1/p/1443/792/807/2/w/861/1443792807_6_1_1.jpg?ts=1604657849950', 'https://static.zara.net/photos///2020/I/0/1/p/1443/792/807/2/w/861/1443792807_6_2_1.jpg?ts=1604657842358', 'https://static.zara.net/photos///2020/I/0/1/p/1443/792/807/2/w/861/1443792807_6_3_1.jpg?ts=1604657808803']",https://www.zara.com/us/en/jogging-pants-p01443792.html,High-waisted pants with elastic waistband. Side pockets. Front print detail. Elastic cuffs.,"['65% cotton, 35% polyester', '65% cotton, 35% polyester']",['Anthracite grey']
Zara,HOODED KNIT SWEATSHIRT ,39.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_1_1_1.jpg?ts=1604419517984', 'https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_2_1_1.jpg?ts=1604419387318', 'https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_2_2_1.jpg?ts=1604419414707', 'https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_6_1_1.jpg?ts=1604400715345', 'https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_6_2_1.jpg?ts=1604400731298', 'https://static.zara.net/photos///2020/I/0/1/p/6873/121/706/2/w/861/6873121706_6_3_1.jpg?ts=1604400710296']",https://www.zara.com/us/en/hooded-knit-sweatshirt-p06873121.html,High collar sweatshirt with adjustable drawstring hood and long balloon sleeves.,"['50% viscose, 31% polyester, 19% nylon']",['Mink']
Zara,BELTED KNIT VEST ,39.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_1_1_1.jpg?ts=1604419424770', 'https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_2_1_1.jpg?ts=1604419441607', 'https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_2_2_1.jpg?ts=1604419475139', 'https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_6_1_1.jpg?ts=1604323457388', 'https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_6_2_1.jpg?ts=1604323497164', 'https://static.zara.net/photos///2020/I/0/1/p/2142/189/743/2/w/861/2142189743_6_3_1.jpg?ts=1604323430920']",https://www.zara.com/us/en/belted-knit-vest-p02142189.html,Knit vest. Self belt.,"['88% acrylic, 7% nylon, 5% polyester']",['Light camel']
Zara,MERINO WOOL BLEND OVERSIZED POLO SHIRT ,69.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/5755/155/737/2/w/861/5755155737_1_1_1.jpg?ts=1604923974608', 'https://static.zara.net/photos///2020/I/0/1/p/5755/155/737/2/w/861/5755155737_2_1_1.jpg?ts=1604923976271', 'https://static.zara.net/photos///2020/I/0/1/p/5755/155/737/2/w/861/5755155737_6_1_1.jpg?ts=1604510784275', 'https://static.zara.net/photos///2020/I/0/1/p/5755/155/737/2/w/861/5755155737_6_2_1.jpg?ts=1605000897420', 'https://static.zara.net/photos///2020/I/0/1/p/5755/155/737/2/w/861/5755155737_6_3_1.jpg?ts=1604510801424']",https://www.zara.com/us/en/merino-wool-blend-oversized-polo-shirt-p05755155.html,"Knit polo shirt made of merino wool blend fabric. Lapel collar, long sleeves, and ribbed hem. Front patch pocket. Side vents at hem. Front button closure.","['71% wool, 20% nylon, 9% Yak Fiber']",['Brown / Taupe']
Zara,SOFT FEEL KNIT SWEATER ,39.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/4/w/861/3653127807_1_1_1.jpg?ts=1604490759254', 'https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/4/w/861/3653127807_2_1_1.jpg?ts=1604490763627', 'https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/4/w/861/3653127807_2_2_1.jpg?ts=1604490737482', 'https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/2/w/861/3653127807_6_1_1.jpg?ts=1604323498655', 'https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/2/w/861/3653127807_6_2_1.jpg?ts=1604323529252', 'https://static.zara.net/photos///2020/I/0/1/p/3653/127/807/2/w/861/3653127807_6_3_1.jpg?ts=1604323444044', 'https://static.zara.net/photos///contents/cm/w/861/sustainability-extrainfo-label-JL11_0.jpg?ts=1602602140202']",https://www.zara.com/us/en/soft-feel-knit-sweater-p03653127.html,Long sleeve V-neck knit wrap top. Front button closure.,"['33% polyester, 22% polyamide, 21% acrylic, 10% wool, 10% camel, 4% elastane']",['Anthracite grey']
Zara,JACQUARD KNIT MINI SHORTS ,29.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/5755/152/712/2/w/861/5755152712_1_1_1.jpg?ts=1605006476612', 'https://static.zara.net/photos///2020/I/0/1/p/5755/152/712/2/w/861/5755152712_6_1_1.jpg?ts=1604501014194', 'https://static.zara.net/photos///2020/I/0/1/p/5755/152/712/2/w/861/5755152712_6_2_1.jpg?ts=1604501020133', 'https://static.zara.net/photos///2020/I/0/1/p/5755/152/712/2/w/861/5755152712_6_3_1.jpg?ts=1604501033706']",https://www.zara.com/us/en/jacquard-knit-mini-shorts-p05755152.html,Very high-waisted mini shorts with elastic waistband. Contrasting rib trim.,"['MAIN FABRIC5% wool,48% polyester,47% acrylic', 'SECONDARY FABRIC52% acrylic,5% wool,43% polyester', '']",['Ecru']
Zara,OVERSIZED JACQUARD CARDIGAN ,49.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/5755/151/712/2/w/861/5755151712_1_1_1.jpg?ts=1604654054266', 'https://static.zara.net/photos///2020/I/0/1/p/5755/151/712/2/w/861/5755151712_2_1_1.jpg?ts=1604654054403', 'https://static.zara.net/photos///2020/I/0/1/p/5755/151/712/2/w/861/5755151712_6_1_1.jpg?ts=1604504685364', 'https://static.zara.net/photos///2020/I/0/1/p/5755/151/712/2/w/861/5755151712_6_2_1.jpg?ts=1604504688093', 'https://static.zara.net/photos///2020/I/0/1/p/5755/151/712/2/w/861/5755151712_6_3_1.jpg?ts=1604504710066']",https://www.zara.com/us/en/oversized-jacquard-cardigan-p05755151.html,Full fit knit cardigan with V-neck and long sleeves. Cable knit detail. Front button closure.,"['49% polyester, 46% acrylic, 5% wool']",['Ecru']
Zara,CROPPED SWEATSHIRT LIMITLESS CONTOUR COLLECTION ,25.90 USD,,"['https://static.zara.net/photos///2020/I/0/1/p/2712/308/717/2/w/861/2712308717_1_1_1.jpg?ts=1603278809627', 'https://static.zara.net/photos///2020/I/0/1/p/2712/308/717/2/w/861/2712308717_6_1_1.jpg?ts=1603108111987', 'https://static.zara.net/photos///2020/I/0/1/p/2712/308/717/2/w/861/2712308717_6_2_1.jpg?ts=1603108106738', 'https://static.zara.net/photos///2020/I/0/1/p/2712/308/717/2/w/861/2712308717_6_3_1.jpg?ts=1603108098192', 'https://static.zara.net/photos///contents/cm/w/861/sustainability-extrainfo-label-JL51_0.jpg?ts=1602602182774']",https://www.zara.com/us/en/cropped-sweatshirt-limitless-contour-collection-p02712308.html,Round neck sweatshirt with long cuffed sleeves. Adjustable elastic drawcord hem.,"['60% cotton, 40% polyester']",['Chocolate']
