brand,item,price,image_url,product_url
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw3e8ac529/MDODO293_1948_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-plume-bleu-marine-MDODO293_1948.html
ATTITUDE,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw0ed53f44/MATTI260_1007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-blanc-rose-MATTI260_1007.html
ATTITUDE,Pantalon,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw8013365e/MATTI244_1007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-blanc-rose-MATTI244_1007.html
ATTITUDE IMPRIME,Veste de pyjama,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw07f4b19a/MATPR260_1889_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/veste-de-pyjama-tresor-ginger-bread-MATPR260_1889.html
ATTITUDE IMPRIME,Pantalon,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw29c930bd/MATPR244_1889_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-tresor-ginger-bread-MATPR244_1889.html
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw5da08f5d/MDODO293_1950_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-pied-de-poule-bleu-marine-MDODO293_1950.html
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwe4bf94f7/MDODO293_1951_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-pied-de-poule-jaune-moutarde-MDODO293_1951.html
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw207406f4/MDODO293_1949_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-plume-beige-naturel-MDODO293_1949.html
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw7162a069/MDODO293_1952_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-chene-beige-poudre-MDODO293_1952.html
DODO,Set pyjama,"49,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwdbf20583/MDODO293_1953_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/set-pyjama-chene-noir-MDODO293_1953.html
DOUCEUR,T-shirt manches longues,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwf1aa2ee0/MDOUC252_7082_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-manches-longues-vert-cypres-MDOUC252_7082.html
DOUCEUR,T-shirt manches longues,"39,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwb312655b/MDOUC252_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/t-shirt-manches-longues-noir-MDOUC252_2000.html
HEATTECH® LOVELY,Top manches longues,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw041b5645/KLOVE228_2149_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/top-manches-longues-gris-anthracite-KLOVE228_2149.html
VIP,Pantalon,"69,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw2c2ad14c/MVIP244_3088_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/pantalon-bleu-marine-MVIP244_3088.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw2355d741/KTAMT272_1954_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-prairie-noir-KTAMT272_1954.html
VIP,Sweat à capuche,"69,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw0c2b4f05/MVIP266_3088_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/sweat-a-capuche-bleu-marine-MVIP266_3088.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw4f949b24/KTAMT272_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-noir-KTAMT272_2000.html
HEATTECH® LOVELY,Top manches longues,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw21f7223d/KLOVE228_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/top-manches-longues-noir-KLOVE228_2000.html
VIP,Peignoir long,"79,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw7bb4f757/MVIP276_1007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/peignoir-long-blanc-rose-MVIP276_1007.html
VIP,Sweat à capuche,"69,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw652c5c16/MVIP266_1007_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/sweat-a-capuche-blanc-rose-MVIP266_1007.html
VIP,Peignoir long,"79,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwbb1cf4e4/MVIP276_3088_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/peignoir-long-bleu-marine-MVIP276_3088.html
PARESSE,Peignoir,"69,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw82844d46/MPARE277_3088_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/peignoir-bleu-marine-MPARE277_3088.html
TAMTAM SHAKER,Legging,"29,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dw4f802695/KTAMT272_1937_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/legging-lune-bleu-marine-KTAMT272_1937.html
DOUCEUR,Nuisette longue,"59,00 €",https://www.princessetamtam.com/dw/image/v2/ABBK_PRD/on/demandware.static/-/Sites-ptt-master/default/dwf4a1c768/MDOUC246_2000_PF1.jpg?sw=530&sh=654&sm=cut,https://www.princessetamtam.com/fr/nuisette-longue-noir-MDOUC246_2000.html
